screen_name,tweets
Miki45172798,7
KibromH_Tigray,11
sara_berha,5
ZTrumplican,17
AbbyAmdo,5
LiliTigray4,214
Rajandingataa11,1
Dawit83485524,3
Agaziaan,4
Rozina20668433,1
RahelBerheS,50
NohGirmai,4
beles297,3
MikeAxumawi,35
Yared96221388,200
northstarfruit,42
GereziherGidey,1
LemlemAbai,79
SelinayTdf,41
aswqal2112,1
NetserTS,6
HyabTomas3,4
lilayfilmawit1,53
Sami_Mesk,1
medhnarayi,136
abraha_senay,6
tigray_B,1
Ezana71,3
MekonenKidanem3,1
AKellelom,22
Tom_gitom,1
Lily36251020,2
AtsbahaHailema3,82
OgMamen70,283
WediQuiha,1
SenaitGirmay2,228
Tesfa1999m,12
tigst32,19
araye_ngsti,19
LwamGaul,70
ILoveTi33775235,4
Azeb58065309,10
Heaven_Axum,37
makeinjera,7
Ilove_Tigray2,126
freaytigriwaty,2
zzcoco11,32
TigrayMahder,3
HWH121421,47
Testek2005,1
AkebomTestat,320
sara_germay,1
AtakhltiR,28
Natsinet_Gezma,158
Ale_xize,4
fili_natey,151
AberashGesses16,13
gueshBe,3
alasebu,1
RealHauleGluck,24
Gal_Tigray1,406
gerziher_letush,2
kiwegih,1
senaytkahsay90,230
TekleweyniKahs,20
MuluFb,31
ZTeberh,2
Lookman97322897,12
Queen1Raw,14
PacifyTigray,1
AbayHaile3,4
KBrhanemeskel,5
Tigray68195218,4
AdilG,4
gual_tegaru,4
eyoualdesta,7
heldu30,1
Abraham00501925,1
ProudTigraway_,13
Des_IGNing,2
TDF_TIGRAY21,204
SenaySe22148037,42
Nanna38246672,4
tsbahki,54
Lili4Truth,2
DaniYeqdmas,6
FuryThoughts,1
Mekdishaa,5
esaw_ar,21
AbebaGrmiy,4
senaitma,2
temtu123,469
Senayt44413408,234
kirosmillena,2
SabaDesta6,7
AksumHager,157
xxsolomon,2
Wedi_abeyti_,2
Natu_Axumawi,1
ILoveYo67384163,2
SNtigray,243
sgebru1,3
Mulugirmay3,1
TigrayHiwi,13
haile_tazezu,3
AmanHayelom22,50
Mebrhtgeryffff1,21
Meski216,157
FitsumGenet,4
LemlemBiyadglin,384
VoiceTigray11,24
FikreTeklehaim1,1
Ozel74370763,17
protect_tigray,224
WDXiU4koT3cLPnr,74
BeraneHiwot,21
DIxGhfvDCeCx84B,3
GebreLeya,20
tigraweyttii,6
YonasBHaile,6
samtsedi,15
axusumawit,82
Mekdim7,1
EngTemuA,97
GebrehiwetWeld4,1
MahderGal,25
atazeb1,8
tsin_at,49
caleab_kesete,17
EbenGabi,5
GK42942106,3
hayelom_hadush,29
Sisayhaile2021,1
JFSebastian146,1
TewyeWeyni,296
Selina18395147,11
Gebreft,2
Harut58884777,17
OAO20ltqDb48PSl,50
yonas_toronto,1
Luli76704028,7
rahelaraya81,210
Roza88829710,162
TslalomE,2
TitigIaTDf,145
halay10974735,3
Tgi96673598,15
bluebonnet286,6
TdfTdf8,41
davedgm,3
Aseber4,9
Has64Sari,7
Eli5Elias,1
SolidarityForT1,9
Menbere51346869,7
TitiTgraweyti3,14
KahsaMebrahtom7,1
Helena499129462,17
CvBb17175635,25
Harnet_Tigrai,1
TesfayBerhane17,4
ZaydAlemu,282
AzneraHaylay,39
duz27wMLzChFdnr,1
HaileAbadi,1
GameR104419,32
Ezana2221,7
brhanTekle14,2
Meserethilufg,188
haben70,151
LuvIzMiReligion,1
Tigrainstigers,2
MiluJunta,5
Jnn962,1
syemane,1
Saba3125,3
BeeRubana,1
EskedarAssefa10,22
MariamAlskling,2
Notappl97190529,1
Dawitdada,53
BHblen,6
MikeFromTigray,6
FanuelMisghna,2
Girmayleake,84
Zelalemhero,12
HawtTasfay,2
abagoraw,2
wsfrya5D0HC9z17,2
gebre_kahsa,5
kokob_tsibah,19
ahaylate,27
Atsede70865972,1
tigrayyouthntwk,8
Brhane36,6
Solomon92157193,3
TigrayTiwet1,1
PlfggP,6
Tigray98440306,4
Tigrawaynet5,24
MedhinHaftom,1
RobelKahsay13,3
Luwam80803887,4
BodiGera,3
tigray_asgedom,14
MrSamsonHQ,1
arkebe_zeray,1
AbrahaMruts,14
Firewoini3,7
Awetna2Awet,14
DrSolomonWaldo,3
Mogos85518822,1
Tigrayoo,1
KahsayGidey8,1
TigrayDigital,250
TigrayHaben,14
Yikuno6,4
MeazaGirma4,2
HuruSamya,114
Meseret14960286,1
YilmaChaka,2
Hilina_Araya,293
TsadikKibrom,135
Leti_Tade,53
HannaTadesse7,4
TigrayBeautiful,1
Aberagebru2,2
EthThinker,1
Sumursumur42,4
23Sabawi,167
AMVeejtT6KfjO3W,16
mebrat79,3
mewail_gesese10,4
Elsa232421,2
KibromHailay_,3
LulaAraya21,23
hingidwediraya,23
gual_tk,11
Happytesfa,107
Noliasadi,1
Wedimaryam1,1
YemaneG9,5
emfj2023,1
YosephAzeb,10
exf_nb,1
meronawit_Axum,384
generalngabo,1
HumanVoices0,18
EyobTamir,1
tesfay121416,2
TigrayFutures,1
Medhin22,384
TTgraweyti,9
TAssefaz5,1
Mickelle_tigray,134
TsiruyDaniel,7
YohannesDabra,2
Right45199350,1
Nigus125,15
Ephremyohanne14,1
DigitalWeyaneM,80
ttftwr,1
tigray04711844,5
Tekian_gal_kesh,23
HaregeweyniT,29
bezawit02,1
Tigraicommunity,1
NxXSX2wANtTQdv7,8
MiguelS11764076,1
Berhanehailu21,3
Rutabela,1
Sami18378517t,45
Gebretesfay11,1
nayna_tigraweti,140
Deco_habeshawi,563
A1WJv4kLwPp9jCY,1
tigrawe03105557,80
PeaceLo21455273,11
Helen_habesha21,139
AbelaalebA,24
DigitalwoyaneE,16
deconstract1,3
GBlhatu,15
TeddyHad,11
NatsnetTigrey,146
SeareNega12,7
weyke_fetek,25
ZelalemAxum,33
Kebron21578255,1
TQszfTsawJ5R0sO,16
AgameMagdelene,2
Thomas52065770,6
SunyaFG,4
WellnessTropic2,6
meri_smart,1
Tsega_haile21,2
NgstiNgsti4,2
AsterEyob1,4
Kalab4541,1
Asmelas58708166,2
Melat77715867,1
Yossef21591807,11
Letebrhan21,1
GebrehiwetKida2,1
welelay12,70
Zfan91466982,52
webisrat,59
WGudom,3
HayelomBerhe6,60
Selam02359161,12
MulugetaFikadu3,1
AkliluGebremar1,3
SelamTi05259629,189
Zem21678717,1
MeriHagos7,15
KibreteyAdey,70
GalTigr78598785,344
HelenKedanu,1
abrhamcaleb_,39
Michaelabreha12,46
MebratGebresla1,3
AfricanGual,11
biko90644679,9
_TigrayGenocide,1
MeaziTeferi,214
kiflekiyya,36
MebrahtuTeka4,41
4gHwnTwruVkevfL,28
AHalumie,5
Axum_Gaz,2
nebyat_zerabruk,11
LeenaLe05130237,4
Teweldewele,14
amanb2021,3
MulukenT32,1
Yordano03713323,601
KibatAsgedom,2
Danielmizan1,1
GetchTiger,4
TekleAbrha11,220
Negisti6,25
AbrhaG4,1
tsigereda_nega,4
menge_haile,13
Dani58340928,157
kirostir1,8
seniseni024,1
tigray_netsa,1
Wesen24,16
Senait99858745,2
KwgehEu1,51
Aster23708899,4
Mengstuweyni,144
BerieKidist,9
EdenaNeway,4
VoiceTigray19,63
MusgunMulu,113
HayelomEyob,174
danny_chung16,71
Mezritay1,25
tigistftsum1,15
MeleyZemelak,6
mar26211855,5
NuruKlara,85
adenlili,213
FreFrehiwet,1
HKahasey,1
Mati04580929,16
Yaqoubwediwey,222
tigrawayaxumawy,18
Sadda01118654,159
wegahta85671743,141
AyAt59854117,1
YTigrawaye,16
TsehayWelslasei,22
MitaGalRaya1,5
Tigray93874951,121
MahderAsgede1,17
sanyite,1
fre_yoni,22
Salma41212354,33
Seif96640701,3
Seid_Bro,15
Halefom97583650,16
LuelHalefom,84
destinyStamp1,4
hafsamohamed1,2
